127.0.0.1 - - [06/Nov/2025:16:30:40 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:43 -0300] "GET /brewer/ HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:43 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/cervejas HTTP/1.1" 200 14614
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:57 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:58 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:58 -0300] "GET /brewer/fotos/sem-foto.png HTTP/1.1" 200 1179791
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:30:58 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:31:07 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:31:07 -0300] "GET /brewer/images/mini-loading.gif HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Nov/2025:16:31:07 -0300] "GET /brewer/clientes/novo HTTP/1.1" 200 11861
