127.0.0.1 - - [14/Nov/2025:10:21:14 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:15 -0300] "GET /brewer/ HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:15 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:24 -0300] "GET /brewer/clientes/novo HTTP/1.1" 200 12639
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/images/mini-loading.gif HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/javascripts/cliente.combo-estado-cidade.js HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/javascripts/cliente.mascara-cpf-cnpj.js HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:25 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:27 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:27 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [14/Nov/2025:10:21:27 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
