127.0.0.1 - - [14/Feb/2026:15:15:03 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:07 -0300] "GET /brewer/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/login?expired HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/images/logo-gray.png HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:11 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:27 -0300] "POST /brewer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/cervejas HTTP/1.1" 200 15079
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/fotos/9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 28295
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:29 -0300] "GET /brewer/fotos/7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:35 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:35 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:35 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:35 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [14/Feb/2026:15:15:35 -0300] "GET /brewer/vendas/nova HTTP/1.1" 200 14755
