127.0.0.1 - - [19/Dec/2025:10:00:43 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:17 -0300] "GET /aformula/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 146776
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/javax.faces.resource/components.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 495734
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/javax.faces.resource/javascript.js.xhtml?ln=js HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/pages/principal.xhtml HTTP/1.1" 200 27666
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/2506121153_a8e0db25-a869-453a-91b4-d9373bb30cfe.jpeg&pfdrid_c=true HTTP/1.1" 200 54098
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/javax.faces.resource/aformula.png.xhtml?ln=images HTTP/1.1" 200 103462
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:18 -0300] "GET /aformula/privateChat/username=ZAIRA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:23 -0300] "GET /aformula/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/2506121153_a8e0db25-a869-453a-91b4-d9373bb30cfe.jpeg&pfdrid_c=true HTTP/1.1" 200 54098
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/image?path=&pfdrid_c=true HTTP/1.1" 404 694
