127.0.0.1 - - [20/Oct/2025:09:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:50 -0300] "GET /aformula/javax.faces.resource/javascript.js.xhtml?ln=js HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:50 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:50 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:50 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "GET /aformula/javax.faces.resource/touch/touchswipe.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "GET /aformula/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 70412
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:54 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/toggleswitch/toggleswitch.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/toggleswitch/toggleswitch.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/calendar/calendar.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 92094
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/inputmask/inputmask.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 103497
